bhk,price,total_sqft,location,price_per_sqft
2.0,38.0,911.0,"Dream City, Shivaji Nagar, Nashik, Maharashtra",417.1240395170143
2.0,44.0,950.0,"Chetana Nagar, Indira Nagar, Nashik, Maharashtra",463.1578947368421
1.0,40.0,690.0,"S T Colony, Gangapur Road, Nashik, Maharashtra",579.7101449275362
1.0,30.0,588.0,Vrindavan Garden,510.2040816326531
1.0,30.0,850.0,"Happy Home Colony-Gulshan Colony, Wadala, Nashik, Maharashtra",352.94117647058823
2.0,35.0,947.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",369.5881731784583
2.0,48.0,765.0,"Manik Nagar, Gangapur Road, Nashik, Maharashtra",627.4509803921569
1.0,30.0,890.0,Hari Darshan Apartment,337.07865168539325
2.0,34.0,950.0,Rushikesh Apartment,357.89473684210526
2.0,38.0,1020.0,Executive Residency,372.54901960784315
1.0,40.0,800.0,Tejas Apartments,500.0
3.0,97.0,1770.0,"Balawant Nagar, Anandvalli, Nashik, Maharashtra",548.0225988700565
3.0,40.0,1100.0,"Nashik Road, Nashik, Maharashtra",363.6363636363636
2.0,35.0,1000.0,"Nashik Road, Nashik, Maharashtra",350.0
3.0,40.0,1100.0,"Nashik Road, Nashik, Maharashtra",363.6363636363636
1.0,30.0,713.0,"Nashik Road, Nashik, Maharashtra",420.75736325385697
2.0,28.0,693.0,Gautam Park,404.04040404040404
2.0,28.0,693.0,Gautam Park,404.04040404040404
2.0,30.0,412.0,"Ambedkar Nagar, Chunchale, Nashik, Maharashtra",728.1553398058253
1.0,24.0,685.0,"Meri Colony, Meri, Nashik, Maharashtra",350.3649635036496
2.0,34.0,862.0,"Ambad, Nashik, Maharashtra",394.43155452436196
3.0,40.0,1150.0,"Midc Ambad Nashik, Ambad, Nashik, Maharashtra",347.82608695652175
2.0,42.0,986.0,"Rajpal Colony, Panchavati, Nashik, Maharashtra",425.96348884381337
1.0,50.0,1035.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",483.09178743961354
2.0,28.0,790.0,"Midc Ambad Nashik, Ambad, Nashik, Maharashtra",354.43037974683546
2.0,26.0,721.0,"Om Residency, Dwarka, Nashik, Maharashtra",360.6102635228849
2.0,34.2,1060.0,"Wadala, Nashik, Maharashtra",322.64150943396226
3.0,90.0,1567.0,"Govind Nagar, Nashik, Maharashtra",574.345883854499
1.0,36.0,825.0,"Govind Nagar, Nashik, Maharashtra",436.3636363636364
2.0,33.0,900.0,"Nashik, Maharashtra",366.6666666666667
3.0,40.0,1200.0,"Gulshan Colony, Wadala, Nashik, Maharashtra",333.3333333333333
3.0,65.0,1250.0,"Shankar Nagar, Veer Savarkar Nagar, Nashik, Maharashtra",520.0
2.0,32.0,1250.0,Akshardham,256.0
1.0,21.0,680.0,Kishor Nagar,308.8235294117647
2.0,30.0,930.0,"Ashok Nagar, Satpur, Nashik, Maharashtra",322.5806451612903
2.0,31.99,895.0,"Swami Narayan Nagar, Panchavati, Nashik, Maharashtra",357.4301675977654
2.0,46.5,1010.0,"Nashik, Maharashtra",460.3960396039604
3.0,70.0,1800.0,"Trimbak, Trimbakeshwar, Nashik, Maharashtra",388.8888888888889
6.0,40.0,2000.0,"Trimbak, Trimbakeshwar, Nashik, Maharashtra",200.0
1.0,22.0,670.0,"Nashik, Maharashtra",328.35820895522386
1.0,21.0,600.0,"Ramwadi-Kaushalya Nagar, Panchavati, Nashik, Maharashtra",350.0
2.0,25.0,850.0,Panchvati Apartment,294.11764705882354
1.0,20.0,590.0,"Laxman Nagar, Panchavati, Nashik, Maharashtra",338.9830508474576
3.0,190.0,2200.0,"Shankar Nagar, Veer Savarkar Nagar, Nashik, Maharashtra",863.6363636363636
2.0,47.0,1250.0,"Vidhate Nagar, Panchavati, Nashik, Maharashtra",376.0
2.0,35.0,901.0,Vinayak Residency,388.457269700333
1.0,16.0,620.0,"Matoshree Nagar, Tidke Colony, Nashik, Maharashtra",258.06451612903226
3.0,93.0,1130.0,"Manik Nagar, Gangapur Road, Nashik, Maharashtra",823.0088495575221
1.0,20.0,596.0,Saisiddhi Apartment,335.5704697986577
3.0,67.3,1550.0,"Sadguru Nagar, Satpur, Nashik, Maharashtra",434.19354838709677
1.0,18.0,614.0,"Swami Samarth Nagar, Mankar Mala, Nashik, Maharashtra",293.15960912052117
1.0,28.0,650.0,"Jagatap Nagar, Cidco, Nashik, Maharashtra",430.7692307692308
3.0,41.0,1000.0,"Rane Nagar, Indira Nagar, Nashik, Maharashtra",410.0
2.0,31.6,800.0,"Prashant Nagar, Pathardi Phata, Nashik, Maharashtra",395.0
2.0,30.0,650.0,"Jagtap Nagar Road, Cidco, Nashik, Maharashtra, 422008",461.53846153846155
1.0,24.0,769.0,"Shalimar, Old Nashik, Nashik, Maharashtra",312.09362808842656
1.0,25.0,670.0,"Jagatap Nagar, Cidco, Nashik, Maharashtra",373.13432835820896
1.0,20.38,685.0,"Panchavati, Nashik, Maharashtra",297.51824817518246
3.0,70.0,1320.0,"Balawant Nagar, Anandvalli, Nashik, Maharashtra",530.3030303030303
3.0,70.0,1320.0,"Satpur, Nashik, Maharashtra",530.3030303030303
1.0,18.0,700.0,Building,257.14285714285717
2.0,45.0,1040.0,"Makhmalabad, Makhamalabad, Nashik, Maharashtra",432.6923076923077
1.0,20.0,670.0,"Lokasahakar Nagar, Gangapur Road, Nashik, Maharashtra",298.5074626865672
2.0,50.0,1050.0,"Sadguru Nagar, Satpur, Nashik, Maharashtra",476.1904761904762
1.0,20.0,730.0,"Mhasrul Gaon, Mhasrul, Nashik, Maharashtra",273.972602739726
2.0,55.0,1135.0,"Ayodhya Nagar, Upnagar, Nashik, Maharashtra",484.5814977973568
2.0,44.5,980.0,Shree Residency,454.0816326530612
1.0,34.0,710.0,"Atharv Colony Road, Veer Savarkar Nagar, Nashik, Maharashtra, 422013",478.8732394366197
2.0,37.0,700.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",528.5714285714286
2.5,65.0,1300.0,Karmaa Galaxy,500.0
2.0,28.0,825.0,"Shiv Shakti Nagar, Panchak, Nashik, Maharashtra",339.3939393939394
2.0,25.0,850.0,Meri Colony,294.11764705882354
1.0,35.0,750.0,"Shanti Park, Upnagar, Nashik, Maharashtra",466.6666666666667
1.0,30.0,660.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",454.54545454545456
1.0,30.0,660.0,Kishor Nagar,454.54545454545456
2.0,25.0,800.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",312.5
3.0,45.0,1270.0,"Suyog Colony, Satpur, Nashik, Maharashtra",354.3307086614173
1.0,16.0,600.0,"Ayodhya Nagar, Upnagar, Nashik, Maharashtra",266.6666666666667
2.0,33.0,823.0,Hari Sanskruti Phase LL,400.97205346294044
2.0,35.5,1035.0,Shakti Sankul Apartment,342.9951690821256
2.0,52.0,750.0,"Kalpana Nagar, College Road, Nashik, Maharashtra",693.3333333333334
3.0,45.0,1400.0,Annapurna Height,321.42857142857144
3.0,85.0,1500.0,"Nashik, Maharashtra",566.6666666666666
3.0,41.0,1100.0,"Chetana Nagar, Indira Nagar, Nashik, Maharashtra",372.72727272727275
2.0,31.0,780.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",397.43589743589746
2.0,30.0,1000.0,"Abhiyanta Nagar Road, Cidco, Nashik, Maharashtra, 422008",300.0
2.0,26.0,862.0,"Makhmalabad, Makhamalabad, Nashik, Maharashtra",301.6241299303944
1.0,21.0,592.0,Gayakhe Colony,354.72972972972974
2.0,26.15,975.0,Nilesh,268.20512820512823
2.0,45.0,968.0,Alaknanda,464.87603305785126
1.0,13.0,520.0,Kishor Nagar,250.0
1.0,20.0,560.0,"Vasantdada Nagar, Adgaon, Nashik, Maharashtra",357.14285714285717
1.0,20.0,600.0,"Damodar Nagar, Pathardi Phata, Nashik, Maharashtra",333.3333333333333
3.0,70.0,1550.0,"Kala Nagar, Indira Nagar, Nashik, Maharashtra",451.61290322580646
2.0,45.0,1150.0,"Wadala, Nashik, Maharashtra",391.30434782608694
1.0,15.0,500.0,Shree Harikrushna Park,300.0
1.0,18.0,650.0,"Nashik Road, Nashik, Maharashtra",276.9230769230769
1.0,50.0,720.0,"College Road, Nashik, Maharashtra",694.4444444444445
1.0,38.0,600.0,"Anand Vihar Colony, Veer Savarkar Nagar, Nashik, Maharashtra",633.3333333333334
1.0,20.0,750.0,"Nashik Road, Nashik, Maharashtra",266.6666666666667
2.0,45.0,600.0,"Kalpataru Nagar, Wadala, Nashik, Maharashtra",750.0
2.0,40.0,1100.0,"Bhadrakali, Old Nashik, Nashik, Maharashtra",363.6363636363636
1.0,18.0,640.0,"Nashik Road, Nashik, Maharashtra",281.25
